Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,181.10000000,183.92250000,179.56000000,182.63000000,182.63000000,54318851
2024-02-28,182.51000000,183.12000000,180.13000000,181.42000000,181.42000000,48953939
2024-02-29,181.27000000,182.57000000,179.53000000,180.75000000,180.75000000,136682597
2024-03-01,179.55000000,180.53000000,177.38000000,179.66000000,179.66000000,73563082
2024-03-04,176.15000000,176.90000000,173.79000000,175.10000000,175.10000000,81510101
2024-03-05,170.76000000,172.04000000,169.62000000,170.12000000,170.12000000,95132355
2024-03-06,171.06000000,171.24000000,168.68000000,169.12000000,169.12000000,68587707
2024-03-07,169.15000000,170.73000000,168.49000000,169.00000000,169.00000000,71765061
2024-03-08,169.00000000,173.70000000,168.94000000,170.73000000,170.73000000,76267041
2024-03-11,172.94000000,174.38000000,172.05000000,172.75000000,172.75000000,60139473
2024-03-12,173.15000000,174.03000000,171.01000000,173.23000000,173.23000000,59825372
2024-03-13,172.77000000,173.18500000,170.76000000,171.13000000,171.13000000,52488692
2024-03-14,172.91000000,174.30780000,172.05000000,173.00000000,173.00000000,72913507
2024-03-15,171.17000000,172.62000000,170.28500000,172.62000000,172.62000000,121752699
2024-03-18,175.57000000,177.71000000,173.52000000,173.72000000,173.72000000,75604184
2024-03-19,174.34000000,176.60500000,173.03000000,176.08000000,176.08000000,55215244
2024-03-20,175.72000000,178.67000000,175.09000000,178.67000000,178.67000000,53423102
2024-03-21,177.05000000,177.49000000,170.84000000,171.37000000,171.37000000,106181270
2024-03-22,171.76000000,173.05000000,170.06000000,172.28000000,172.28000000,71160138
2024-03-25,170.56500000,171.94000000,169.45000000,170.85000000,170.85000000,54288328
2024-03-26,170.00000000,171.42000000,169.58000000,169.71000000,169.71000000,57388449
2024-03-27,170.41000000,173.60000000,170.11000000,173.31000000,173.31000000,60273265
2024-03-28,171.75000000,172.23000000,170.51000000,171.48000000,171.48000000,65672690
2024-04-01,171.19000000,171.25000000,169.47500000,170.03000000,170.03000000,46240500
2024-04-02,169.08000000,169.34000000,168.23020000,168.84000000,168.84000000,49329481
2024-04-03,168.79000000,170.68000000,168.58000000,169.65000000,169.65000000,47691715
2024-04-04,170.29000000,171.92000000,168.82000000,168.82000000,168.82000000,53704386
2024-04-05,169.59000000,170.39000000,168.95000000,169.58000000,169.58000000,42104826
2024-04-08,169.03000000,169.20000000,168.24000000,168.45000000,168.45000000,37425513
2024-04-09,168.70000000,170.08000000,168.35000000,169.67000000,169.67000000,42451209
2024-04-10,168.80000000,169.09000000,167.11000000,167.78000000,167.78000000,49709336
