Date,Open,High,Low,Close,Adj Close,Volume
2023-04-06,28175.22656250,28178.38476562,27738.75976562,28044.14062500,28044.14062500,13837809380
2023-04-07,28038.96679688,28111.59375000,27794.03125000,27925.85937500,27925.85937500,10861680497
2023-04-08,27920.51367188,28159.86328125,27883.38671875,27947.79492188,27947.79492188,9373255556
2023-04-09,27952.36718750,28532.83007812,27828.48046875,28333.05078125,28333.05078125,12175322951
2023-04-10,28336.02734375,29771.46484375,28189.27148438,29652.98046875,29652.98046875,19282400094
2023-04-11,29653.67968750,30509.08398438,29609.30078125,30235.05859375,30235.05859375,20121259843
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.05273438,30139.05273438,18651929926
2023-04-13,29892.74023438,30539.84570312,29878.62304688,30399.06640625,30399.06640625,17487721001
2023-04-14,30409.56250000,31005.60742188,30044.49804688,30485.69921875,30485.69921875,22659995079
2023-04-15,30490.75000000,30601.74023438,30245.88281250,30318.49609375,30318.49609375,11940685378
2023-04-16,30315.97656250,30555.53710938,30157.83203125,30315.35546875,30315.35546875,12854816417
2023-04-17,30317.14648438,30319.19726562,29275.37109375,29445.04492188,29445.04492188,17872186762
2023-04-18,29449.09179688,30470.30273438,29154.84960938,30397.55273438,30397.55273438,19480529496
2023-04-19,30394.18750000,30411.05468750,28669.89843750,28822.67968750,28822.67968750,24571565421
2023-04-20,28823.68359375,29076.40039062,28037.25781250,28245.98828125,28245.98828125,21340360360
2023-04-21,28249.23046875,28349.96875000,27177.36523438,27276.91015625,27276.91015625,20759504330
2023-04-22,27265.89453125,27872.14257812,27169.57031250,27817.50000000,27817.50000000,13125734602
2023-04-23,27816.14453125,27820.24414062,27400.31445312,27591.38476562,27591.38476562,12785446832
2023-04-24,27591.73046875,27979.98242188,27070.84960938,27525.33984375,27525.33984375,17703288330
2023-04-25,27514.87304688,28371.07812500,27207.93164062,28307.59765625,28307.59765625,17733373139
2023-04-26,28300.05859375,29995.83789062,27324.54882812,28422.70117188,28422.70117188,31854242019
2023-04-27,28428.46484375,29871.54687500,28402.88671875,29473.78710938,29473.78710938,27153445027
2023-04-28,29481.01367188,29572.79101562,28929.60937500,29340.26171875,29340.26171875,17544464887
2023-04-29,29336.56640625,29452.45507812,29088.04296875,29248.48828125,29248.48828125,10662634333
2023-04-30,29245.51562500,29952.02929688,29114.02148438,29268.80664062,29268.80664062,14652199272
2023-05-01,29227.10351562,29329.93554688,27680.79296875,28091.56835938,28091.56835938,18655599976
2023-05-02,28087.17578125,28881.29882812,27924.12304688,28680.53710938,28680.53710938,16432924527
2023-05-03,28680.49414062,29259.53320312,28178.38867188,29006.30859375,29006.30859375,19122972518
2023-05-04,29031.30468750,29353.18554688,28694.03906250,28847.71093750,28847.71093750,15548678514
2023-05-05,28851.48046875,29668.90820312,28845.50976562,29534.38476562,29534.38476562,17936566518
2023-05-06,29538.85937500,29820.12695312,28468.96679688,28904.62304688,28904.62304688,15913866714
2023-05-07,28901.62304688,29157.51757812,28441.36718750,28454.97851562,28454.97851562,11301355486
2023-05-08,28450.45703125,28663.27148438,27310.13476562,27694.27343750,27694.27343750,19122903752
2023-05-09,27695.06835938,27821.40039062,27375.60156250,27658.77539062,27658.77539062,14128593256
2023-05-10,27654.63671875,28322.68750000,26883.66992188,27621.75585938,27621.75585938,20656025026
2023-05-11,27621.08593750,27621.94140625,26781.82617188,27000.78906250,27000.78906250,16724343943
2023-05-12,26987.66210938,27055.64648438,25878.42968750,26804.99023438,26804.99023438,19313599897
2023-05-13,26807.76953125,27030.48242188,26710.87304688,26784.07812500,26784.07812500,9999171605
2023-05-14,26788.97460938,27150.97656250,26661.35546875,26930.63867188,26930.63867188,10014858959
2023-05-15,26931.38476562,27646.34765625,26766.09765625,27192.69335938,27192.69335938,14413231792
2023-05-16,27171.51367188,27299.30468750,26878.94726562,27036.65039062,27036.65039062,12732238816
2023-05-17,27035.47070312,27465.92773438,26600.14453125,27398.80273438,27398.80273438,15140006925
2023-05-18,27401.65039062,27466.52734375,26415.10156250,26832.20898438,26832.20898438,15222938600
2023-05-19,26826.75390625,27128.61914062,26700.21093750,26890.12890625,26890.12890625,11258983301
2023-05-20,26888.84179688,27155.15820312,26843.27734375,27129.58593750,27129.58593750,7044911360
2023-05-21,27118.42382812,27265.91796875,26706.92187500,26753.82617188,26753.82617188,8647416921
2023-05-22,26749.89257812,27045.73437500,26549.73437500,26851.27734375,26851.27734375,11056770492
2023-05-23,26855.96093750,27434.68359375,26816.17968750,27225.72656250,27225.72656250,13697203143
2023-05-24,27224.60351562,27224.60351562,26106.57617188,26334.81835938,26334.81835938,16299104428
2023-05-25,26329.46093750,26591.51953125,25890.59375000,26476.20703125,26476.20703125,13851122697
2023-05-26,26474.18164062,26916.66992188,26343.94921875,26719.29101562,26719.29101562,12711619225
2023-05-27,26720.18164062,26888.88281250,26621.14062500,26868.35351562,26868.35351562,7892015141
2023-05-28,26871.15820312,28193.44921875,26802.75195312,28085.64648438,28085.64648438,14545229578
2023-05-29,28075.59179688,28432.03906250,27563.87695312,27745.88476562,27745.88476562,15181308984
