Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,3178.69000000,3291.36000000,3161.60000000,3243.84000000,3243.84000000,211830
2024-02-28,3244.35000000,3496.02000000,3111.00000000,3386.64000000,3386.64000000,313191
2024-02-29,3386.64000000,3521.99000000,3301.00000000,3341.78000000,3341.78000000,243536
2024-03-01,3341.78000000,3455.00000000,3339.20000000,3436.00000000,3436.00000000,132747
2024-03-02,3436.37000000,3462.00000000,3393.70000000,3420.10000000,3420.10000000,80730
2024-03-03,3423.77000000,3493.78000000,3360.00000000,3489.54000000,3489.54000000,88854
2024-03-04,3489.95000000,3650.00000000,3429.60000000,3633.23000000,3633.23000000,214173
2024-03-05,3633.20000000,3829.93000000,3200.00000000,3557.41000000,3557.41000000,476312
2024-03-06,3556.70000000,3903.42000000,3499.57000000,3821.82000000,3821.82000000,289406
2024-03-07,3822.10000000,3941.57000000,3736.50000000,3875.28000000,3875.28000000,171529
2024-03-08,3875.42000000,4000.00000000,3822.20000000,3892.60000000,3892.60000000,207913
2024-03-09,3892.62000000,3951.37000000,3865.60000000,3913.55000000,3913.55000000,76020
2024-03-10,3913.84000000,3972.17000000,3789.40000000,3881.96000000,3881.96000000,101831
2024-03-11,3882.48000000,4091.67000000,3721.00000000,4066.21000000,4066.21000000,247325
2024-03-12,4065.30000000,4093.88000000,3812.70000000,3980.34000000,3980.34000000,237510
2024-03-13,3968.20000000,4085.57000000,3927.70000000,4007.70000000,4007.70000000,162347
2024-03-14,4007.79000000,4013.25000000,3714.53000000,3880.78000000,3880.78000000,229807
2024-03-15,3880.45000000,3965.00000000,3566.00000000,3742.95000000,3742.95000000,293619
2024-03-16,3743.29000000,3784.80000000,3466.55000000,3520.10000000,3520.10000000,141810
2024-03-17,3520.24000000,3679.70000000,3410.78000000,3641.02000000,3641.02000000,146951
2024-03-18,3641.51000000,3645.80000000,3454.30000000,3520.66000000,3520.66000000,140530
2024-03-19,3518.43000000,3547.97000000,3146.98000000,3156.97000000,3156.97000000,336726
2024-03-20,3156.94000000,3537.80000000,3057.50000000,3516.68000000,3516.68000000,409004
2024-03-21,3517.02000000,3589.30000000,3410.45000000,3491.78000000,3491.78000000,191782
2024-03-22,3496.40000000,3546.30000000,3250.00000000,3335.09000000,3335.09000000,197963
2024-03-23,3337.38000000,3436.39000000,3271.47000000,3330.05000000,3330.05000000,111096
2024-03-24,3330.28000000,3473.50000000,3300.00000000,3454.03000000,3454.03000000,74900
2024-03-25,3458.50000000,3661.70000000,3418.61000000,3591.02000000,3591.02000000,170129
2024-03-26,3591.30000000,3681.90000000,3543.60000000,3587.67000000,3587.67000000,123858
2024-03-27,3587.50000000,3665.95000000,3456.90000000,3499.56000000,3499.56000000,141879
2024-03-28,3499.62000000,3612.30000000,3462.44000000,3561.10000000,3561.10000000,102613
2024-03-29,3561.12000000,3584.90000000,3470.50000000,3511.08000000,3511.08000000,79208
2024-03-30,3511.21000000,3568.13000000,3488.08000000,3507.51000000,3507.51000000,66572
2024-03-31,3507.31000000,3658.00000000,3505.76000000,3645.48000000,3645.48000000,66191
2024-04-01,3650.60000000,3650.60000000,3410.09000000,3505.85000000,3505.85000000,123356
2024-04-02,3505.87000000,3507.69000000,3211.41000000,3279.64000000,3279.64000000,184781
2024-04-03,3279.71000000,3369.43000000,3202.80000000,3312.43000000,3312.43000000,117410
2024-04-04,3312.42000000,3444.95000000,3251.20000000,3329.39000000,3329.39000000,132287
2024-04-05,3329.41000000,3348.33000000,3209.70000000,3319.26000000,3319.26000000,104088
2024-04-06,3319.10000000,3398.80000000,3308.50000000,3352.66000000,3352.66000000,44425
2024-04-07,3352.60000000,3459.52000000,3345.36000000,3453.67000000,3453.67000000,48995
2024-04-08,3452.40000000,3731.00000000,3406.93000000,3694.56000000,3694.56000000,171956
2024-04-09,3694.38000000,3726.79000000,3450.60000000,3504.58000000,3504.58000000,140500
2024-04-10,3504.24000000,3568.90000000,3408.01000000,3546.00000000,3546.00000000,106188
2024-04-11,3546.07000000,3620.50000000,3473.60000000,3503.06000000,3503.06000000,88318
2024-04-12,3503.06000000,3555.30000000,2926.93000000,3239.31000000,3239.31000000,212948
2024-04-13,3238.98000000,3303.50000000,2537.00000000,3011.39000000,3011.39000000,309459
2024-04-14,3011.42000000,3178.30000000,2908.90000000,3158.06000000,3158.06000000,190907
2024-04-15,3156.00000000,3281.21000000,3025.00000000,3103.13000000,3103.13000000,173022
2024-04-16,3101.38000000,3132.10000000,2987.26000000,3085.25000000,3085.25000000,143436
2024-04-17,3084.92000000,3126.20000000,2914.01000000,2984.98000000,2984.98000000,152015
2024-04-18,2985.40000000,3100.80000000,2952.53000000,3065.82000000,3065.82000000,117768
2024-04-19,3065.80000000,3128.99000000,2865.71000000,3057.93000000,3057.93000000,148355
2024-04-20,3058.52000000,3173.20000000,3019.11000000,3157.01000000,3157.01000000,49647
2024-04-21,3157.81000000,3199.00000000,3117.46000000,3148.10000000,3148.10000000,44171
2024-04-22,3148.31000000,3239.10000000,3129.68000000,3201.46000000,3201.46000000,85105
2024-04-23,3202.00000000,3267.20000000,3153.41000000,3219.49000000,3219.49000000,87090
2024-04-24,3220.00000000,3295.20000000,3102.62000000,3138.91000000,3138.91000000,102503
2024-04-25,3139.11000000,3193.80000000,3071.79000000,3155.36000000,3155.36000000,107571
2024-04-26,3155.63000000,3169.90000000,3101.01000000,3130.00000000,3130.00000000,80914
2024-04-27,3129.96000000,3287.00000000,3067.27000000,3253.04000000,3253.04000000,77826
2024-04-28,3252.63000000,3363.10000000,3239.72000000,3262.60000000,3262.60000000,77570
2024-04-29,3262.03000000,3289.80000000,3113.70000000,3215.53000000,3215.53000000,100728
2024-04-30,3216.09000000,3255.00000000,2916.34000000,3011.40000000,3011.40000000,151671
2024-05-01,3011.24000000,3028.40000000,2813.80000000,2968.12000000,2968.12000000,194837
2024-05-02,2970.01000000,3020.40000000,2890.28000000,2986.32000000,2986.32000000,92944
2024-05-03,2987.86000000,3131.60000000,2958.55000000,3103.27000000,3103.27000000,113983
2024-05-04,3105.13000000,3171.90000000,3093.28000000,3117.41000000,3117.41000000,44132
2024-05-05,3118.06000000,3177.00000000,3073.70000000,3136.95000000,3136.95000000,46102
2024-05-06,3137.54000000,3225.80000000,3045.59000000,3062.69000000,3062.69000000,100973
2024-05-07,3063.07000000,3133.90000000,3000.00000000,3005.78000000,3005.78000000,72665
2024-05-08,3005.14000000,3042.90000000,2936.51000000,2972.82000000,2972.82000000,71792
2024-05-09,2972.87000000,3064.60000000,2949.52000000,3035.92000000,3035.92000000,65895
2024-05-10,3036.25000000,3059.30000000,2878.38000000,2909.43000000,2909.43000000,108814
2024-05-11,2909.56000000,2949.20000000,2885.80000000,2911.75000000,2911.75000000,33781
2024-05-12,2910.11000000,2962.60000000,2900.59000000,2927.75000000,2927.75000000,30556
2024-05-13,2929.18000000,3003.60000000,2864.01000000,2950.21000000,2950.21000000,100216
2024-05-14,2948.99000000,2988.00000000,2858.76000000,2880.40000000,2880.40000000,99337
2024-05-15,2881.49000000,3044.00000000,2862.36000000,3033.20000000,3033.20000000,117789
2024-05-16,3033.21000000,3044.00000000,2923.73000000,2945.11000000,2945.11000000,100645
2024-05-17,2944.48000000,3124.20000000,2932.68000000,3093.39000000,3093.39000000,98671
2024-05-18,3093.54000000,3151.90000000,3085.07000000,3123.99000000,3123.99000000,42277
2024-05-19,3121.37000000,3138.20000000,3053.74000000,3070.90000000,3070.90000000,41601
2024-05-20,3071.79000000,3695.00000000,3048.58000000,3661.52000000,3661.52000000,350209
2024-05-21,3661.51000000,3841.24000000,3624.90000000,3789.37000000,3789.37000000,330133
2024-05-22,3789.32000000,3813.25000000,3653.11000000,3735.99000000,3735.99000000,193276
2024-05-23,3736.82000000,3947.00000000,3521.24000000,3780.83000000,3780.83000000,402191
2024-05-24,3780.87000000,3831.50000000,3627.53000000,3726.89000000,3726.89000000,146906
2024-05-25,3726.37000000,3781.50000000,3707.41000000,3749.06000000,3749.06000000,40345
2024-05-26,3749.32000000,3884.70000000,3731.03000000,3823.83000000,3823.83000000,84682
2024-05-27,3824.85000000,3975.80000000,3821.01000000,3890.72000000,3890.72000000,102183
2024-05-28,3890.72000000,3929.80000000,3769.47000000,3839.98000000,3839.98000000,121527
2024-05-29,3839.99000000,3890.00000000,3740.75000000,3762.11000000,3762.11000000,122832
2024-05-30,3762.23000000,3825.90000000,3700.40000000,3746.74000000,3746.74000000,109940
2024-05-31,3746.91000000,3846.00000000,3720.52000000,3758.44000000,3758.44000000,102789
2024-06-01,3758.37000000,3833.70000000,3748.31000000,3812.48000000,3812.48000000,37924
2024-06-02,3812.84000000,3837.90000000,3750.59000000,3778.88000000,3778.88000000,49221
2024-06-03,3778.70000000,3852.10000000,3757.32000000,3766.09000000,3766.09000000,81851
2024-06-04,3766.08000000,3832.56000000,3728.77000000,3810.29000000,3810.29000000,75912
2024-06-05,3813.02000000,3888.90000000,3777.25000000,3866.57000000,3866.57000000,81047
2024-06-06,3866.36000000,3879.15000000,3758.19000000,3812.09000000,3812.09000000,63893
2024-06-07,3811.83000000,3842.00000000,3574.89000000,3676.69000000,3676.69000000,131557
2024-06-08,3676.88000000,3711.70000000,3657.39000000,3680.84000000,3680.84000000,34819
2024-06-09,3680.21000000,3721.80000000,3665.53000000,3706.27000000,3706.27000000,24232
2024-06-10,3705.80000000,3712.60000000,3640.00000000,3665.86000000,3665.86000000,53281
2024-06-11,3665.86000000,3671.50000000,3381.00000000,3497.31000000,3497.31000000,170797
2024-06-12,3497.02000000,3657.05000000,3461.52000000,3559.14000000,3559.14000000,122122
2024-06-13,3559.14000000,3562.00000000,3425.87000000,3467.65000000,3467.65000000,122337
2024-06-14,3468.90000000,3530.80000000,3360.62000000,3479.53000000,3479.53000000,121258
2024-06-15,3480.11000000,3593.60000000,3470.96000000,3566.69000000,3566.69000000,67364
2024-06-16,3564.36000000,3652.50000000,3538.74000000,3622.10000000,3622.10000000,49916
2024-06-17,3620.93000000,3640.00000000,3463.38000000,3509.55000000,3509.55000000,131845
2024-06-18,3511.23000000,3517.60000000,3350.00000000,3482.06000000,3482.06000000,155610
2024-06-19,3482.07000000,3591.70000000,3464.44000000,3559.14000000,3559.14000000,129158
2024-06-20,3557.63000000,3628.60000000,3482.61000000,3510.73000000,3510.73000000,124964
2024-06-21,3511.96000000,3551.50000000,3443.90000000,3517.19000000,3517.19000000,123119
2024-06-22,3517.08000000,3526.70000000,3473.78000000,3494.09000000,3494.09000000,36822
2024-06-23,3494.48000000,3525.00000000,3405.07000000,3418.42000000,3418.42000000,49562
2024-06-24,3418.35000000,3437.40000000,3230.00000000,3350.59000000,3350.59000000,197258
2024-06-25,3350.82000000,3431.90000000,3334.79000000,3393.60000000,3393.60000000,118435
2024-06-26,3394.93000000,3428.90000000,3323.00000000,3369.31000000,3369.31000000,95800
2024-06-27,3367.67000000,3482.00000000,3359.23000000,3445.58000000,3445.58000000,92354
2024-06-28,3445.40000000,3492.50000000,3360.01000000,3373.62000000,3373.62000000,112393
2024-06-29,3374.23000000,3412.40000000,3366.21000000,3373.26000000,3373.26000000,27543
2024-06-30,3372.93000000,3462.60000000,3347.21000000,3432.37000000,3432.37000000,38685
2024-07-01,3432.23000000,3526.70000000,3420.50000000,3438.36000000,3438.36000000,72629
2024-07-02,3438.32000000,3466.00000000,3396.76000000,3416.17000000,3416.17000000,51220
2024-07-03,3415.81000000,3435.60000000,3248.00000000,3291.73000000,3291.73000000,103048
2024-07-04,3292.89000000,3315.80000000,3050.00000000,3058.89000000,3058.89000000,150019
2024-07-05,3062.90000000,3111.30000000,2809.41000000,2981.74000000,2981.74000000,289692
2024-07-06,2981.79000000,3085.10000000,2955.67000000,3067.39000000,3067.39000000,61296
2024-07-07,3067.56000000,3079.20000000,2921.13000000,2930.78000000,2930.78000000,58678
2024-07-08,2929.71000000,3103.90000000,2822.64000000,3018.48000000,3018.48000000,156965
2024-07-09,3017.22000000,3119.10000000,3003.55000000,3066.50000000,3066.50000000,71564
2024-07-10,3066.50000000,3158.50000000,3023.80000000,3100.30000000,3100.30000000,77072
2024-07-11,3102.21000000,3223.50000000,3055.00000000,3099.29000000,3099.29000000,90534
2024-07-12,3099.35000000,3163.30000000,3045.80000000,3135.05000000,3135.05000000,60641
2024-07-13,3134.84000000,3210.00000000,3114.15000000,3176.71000000,3176.71000000,32891
2024-07-14,3176.66000000,3275.00000000,3164.66000000,3246.38000000,3246.38000000,49954
2024-07-15,3246.38000000,3500.00000000,3233.86000000,3485.87000000,3485.87000000,130895
2024-07-16,3486.38000000,3503.50000000,3348.00000000,3446.67000000,3446.67000000,106167
2024-07-17,3442.99000000,3521.70000000,3376.50000000,3387.45000000,3387.45000000,81434
