Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.84027182,4.93224185,4.80862677,4.92853308,4.92853308,355616000
2018-01-03,5.04596755,5.28330875,5.03731453,5.25289917,5.25289917,914704000
2018-01-04,5.33423781,5.39085353,5.25833788,5.28058863,5.28058863,583268000
2018-01-05,5.29542344,5.36266989,5.21853465,5.32533836,5.32533836,580124000
2018-01-08,5.44895239,5.56267803,5.40395623,5.48850918,5.48850918,881216000
2018-01-09,5.49394815,5.53350494,5.40543981,5.48702574,5.48702574,497000000
2018-01-10,5.39456141,5.53350481,5.34017095,5.53004360,5.53004360,582664000
2018-01-11,5.56267862,5.59407705,5.51842421,5.53993368,5.53993368,406032000
2018-01-12,5.52806609,5.56243106,5.47219212,5.51273775,5.51273775,359916000
2018-01-16,5.53919285,5.62473420,5.35723141,5.44178391,5.44178391,702348000
2018-01-17,5.45636900,5.56564458,5.36242175,5.55575562,5.55575562,538408000
2018-01-18,5.53647253,5.60322479,5.50532166,5.54883432,5.54883432,408632000
2018-01-19,5.63907307,5.71324193,5.61212516,5.68901348,5.68901348,609380000
2018-01-22,5.69692358,5.77925126,5.63931901,5.77752066,5.77752066,550944000
2018-01-23,5.83092190,5.92931966,5.81237993,5.90657473,5.90657473,475228000
2018-01-24,5.90978906,5.94563754,5.77405977,5.82968664,5.82968664,579972000
2018-01-25,5.88407878,5.92734435,5.82845236,5.84328604,5.84328604,409884000
2018-01-26,5.88704367,6.01609764,5.87418770,6.01585054,6.01585054,516356000
2018-01-29,6.00126383,6.13402656,5.94860398,6.10287523,6.10287523,455116000
2018-01-30,5.96096716,6.09224642,5.89421489,6.00077105,6.00077105,570832000
2018-01-31,6.07617589,6.16270655,6.04354152,6.07691765,6.07691765,478576000
2018-02-01,5.89693409,6.10411329,5.88556162,5.94588566,5.94588566,519224000
2018-02-02,5.85935426,5.88333562,5.71521905,5.77331781,5.77331781,718464000
2018-02-05,5.61212408,5.76614825,5.06821761,5.28330803,5.28330803,1165204000
2018-02-06,5.05338476,5.57998481,5.04349533,5.57701826,5.57701826,1114800000
2018-02-07,5.67591043,5.80916739,5.60470811,5.65662622,5.65662622,802932000
2018-02-08,5.78221935,5.81534792,5.37750331,5.37775087,5.37775087,1144000000
2018-02-09,5.89025878,5.90608131,5.37775067,5.73771763,5.73771763,1674604000
2018-02-12,5.81880764,5.82177466,5.56341918,5.63758802,5.63758802,1093172000
2018-02-13,5.60124726,5.79754818,5.56885997,5.75131607,5.75131607,625524000
2018-02-14,5.71101654,5.99755638,5.69989117,5.96863031,5.96863031,744988000
2018-02-15,6.05194631,6.14045465,5.97110214,6.09422255,6.09422255,698900000
2018-02-16,6.06702844,6.18075409,6.01931282,6.02846050,6.02846050,637656000
2018-02-20,6.05095872,6.22698658,6.04724995,6.15800953,6.15800953,686240000
2018-02-21,6.22253642,6.22945883,5.96714741,5.97085571,5.97085571,892292000
2018-02-22,6.00474681,6.07648786,5.92484185,5.99039841,5.99039841,534364000
2018-02-23,6.05026445,6.08390856,5.99955080,6.08390856,6.08390856,415300000
2018-02-26,6.13017017,6.13462299,6.03764850,6.09998941,6.09998941,469312000
2018-02-27,6.07327330,6.15763157,6.06412041,6.08712721,6.08712721,455436000
2018-02-28,6.09801056,6.13759193,5.97506088,5.98668814,5.98668814,523116000
2018-03-01,5.98446082,6.03839058,5.64331867,5.74449873,5.74449873,1040120000
2018-03-02,5.63688631,5.85804765,5.48820871,5.85161543,5.85161543,913428000
2018-03-05,5.80139755,5.86918075,5.67795290,5.82959938,5.82959938,620776000
2018-03-06,5.91494650,6.00994207,5.87190178,5.99064589,5.99064589,636808000
2018-03-07,5.88773340,6.03492704,5.88649669,5.98272896,5.98272896,581208000
2018-03-08,6.01018899,6.01018899,5.92212015,5.96640205,5.96640205,411912000
