Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,110.00000000,112.70000000,105.17000000,108.41000000,108.41000000,1986140
2024-02-28,108.44000000,119.00000000,105.00000000,119.00000000,119.00000000,3629907
2024-02-29,119.00000000,134.75000000,117.12000000,125.73000000,125.73000000,4537748
2024-03-01,125.74000000,137.99000000,125.68000000,129.53000000,129.53000000,2657629
2024-03-02,129.55000000,131.80000000,127.17000000,130.22000000,130.22000000,1526418
2024-03-03,130.13000000,132.32000000,124.27000000,130.22000000,130.22000000,1420723
2024-03-04,130.22000000,135.02000000,127.44000000,133.49000000,133.49000000,2422963
2024-03-05,133.48000000,143.00000000,106.33000000,125.55000000,125.55000000,4973060
2024-03-06,125.48000000,134.99000000,120.08000000,130.91000000,130.91000000,2540052
2024-03-07,130.91000000,150.00000000,130.64000000,144.06000000,144.06000000,3850034
2024-03-08,144.05000000,153.00000000,141.20000000,145.12000000,145.12000000,2486171
2024-03-09,145.12000000,149.49000000,143.58000000,144.58000000,144.58000000,908295
2024-03-10,144.58000000,148.78000000,140.34000000,144.56000000,144.56000000,1268342
2024-03-11,144.58000000,150.18000000,136.64000000,148.90000000,148.90000000,2325649
2024-03-12,148.91000000,155.00000000,141.05000000,151.06000000,151.06000000,2877716
2024-03-13,150.86000000,167.00000000,148.73000000,163.95000000,163.95000000,2605530
2024-03-14,163.95000000,178.35000000,157.88000000,176.69000000,176.69000000,3371713
2024-03-15,176.50000000,189.00000000,164.44000000,183.91000000,183.91000000,4785573
2024-03-16,184.00000000,197.86000000,176.71000000,181.99000000,181.99000000,3534466
2024-03-17,181.98000000,204.59000000,178.55000000,201.69000000,201.69000000,2771085
2024-03-18,201.70000000,210.00000000,193.60000000,195.96000000,195.96000000,3096083
2024-03-19,195.90000000,198.70000000,165.15000000,169.76000000,169.76000000,4817806
2024-03-20,169.76000000,193.35000000,160.67000000,191.95000000,191.95000000,3765802
2024-03-21,191.81000000,196.00000000,175.50000000,179.40000000,179.40000000,2345977
2024-03-22,179.41000000,182.18000000,167.58000000,175.24000000,175.24000000,1737749
2024-03-23,175.24000000,180.00000000,169.85000000,172.70000000,172.70000000,1266394
2024-03-24,172.68000000,186.87000000,171.32000000,183.88000000,183.88000000,1407200
2024-03-25,183.87000000,194.63000000,180.96000000,188.99000000,188.99000000,2138579
2024-03-26,189.04000000,198.03000000,184.56000000,190.45000000,190.45000000,1665826
2024-03-27,190.48000000,192.77000000,180.00000000,186.24000000,186.24000000,1863809
2024-03-28,186.23000000,191.00000000,180.59000000,189.68000000,189.68000000,1444529
2024-03-29,189.66000000,193.08000000,183.23000000,192.15000000,192.15000000,1357969
2024-03-30,192.14000000,200.00000000,190.85000000,194.26000000,194.26000000,1260717
2024-03-31,194.30000000,203.39000000,193.76000000,202.38000000,202.38000000,1106898
2024-04-01,202.41000000,204.47000000,186.91000000,192.35000000,192.35000000,1794293
2024-04-02,192.37000000,192.39000000,175.89000000,181.54000000,181.54000000,2202532
2024-04-03,181.58000000,192.10000000,177.00000000,185.11000000,185.11000000,1352703
2024-04-04,185.12000000,190.22000000,180.19000000,184.15000000,184.15000000,1252898
2024-04-05,184.11000000,185.23000000,168.00000000,174.46000000,174.46000000,1948604
2024-04-06,174.46000000,180.00000000,173.45000000,178.73000000,178.73000000,831449
2024-04-07,178.78000000,182.73000000,176.83000000,179.53000000,179.53000000,892174
2024-04-08,179.52000000,185.51000000,175.27000000,180.66000000,180.66000000,1504728
2024-04-09,180.65000000,180.96000000,168.89000000,172.31000000,172.31000000,1320038
2024-04-10,172.27000000,175.98000000,162.00000000,173.34000000,173.34000000,1581099
2024-04-11,173.33000000,176.38000000,170.02000000,172.35000000,172.35000000,999353
2024-04-12,172.50000000,175.99000000,138.87000000,153.24000000,153.24000000,2455390
2024-04-13,153.29000000,154.99000000,115.04000000,138.48000000,138.48000000,4698177
2024-04-14,138.59000000,152.95000000,130.00000000,151.44000000,151.44000000,2855022
2024-04-15,151.37000000,156.30000000,133.70000000,138.56000000,138.56000000,2366890
2024-04-16,138.56000000,140.81000000,126.51000000,136.26000000,136.26000000,2249761
2024-04-17,136.28000000,142.77000000,126.68000000,131.84000000,131.84000000,2288377
2024-04-18,131.83000000,143.96000000,127.70000000,142.14000000,142.14000000,2145418
2024-04-19,142.14000000,147.72000000,128.47000000,142.56000000,142.56000000,3015543
2024-04-20,142.54000000,152.48000000,139.70000000,151.33000000,151.33000000,1122751
2024-04-21,151.26000000,153.61000000,146.50000000,148.82000000,148.82000000,959484
2024-04-22,148.81000000,158.58000000,146.70000000,157.02000000,157.02000000,1424251
2024-04-23,157.02000000,160.19000000,153.15000000,154.69000000,154.69000000,1293084
2024-04-24,154.69000000,159.83000000,145.25000000,147.71000000,147.71000000,1842334
2024-04-25,147.71000000,149.50000000,142.04000000,144.83000000,144.83000000,1549599
2024-04-26,144.84000000,146.23000000,138.28000000,139.22000000,139.22000000,952797
2024-04-27,139.19000000,143.35000000,133.00000000,141.22000000,141.22000000,941365
2024-04-28,141.24000000,144.95000000,137.02000000,137.98000000,137.98000000,720536
2024-04-29,137.98000000,139.14000000,133.37000000,137.73000000,137.73000000,1035837
2024-04-30,137.67000000,139.94000000,121.00000000,126.66000000,126.66000000,2096484
2024-05-01,126.63000000,136.06000000,118.06000000,134.46000000,134.46000000,2324753
2024-05-02,134.45000000,141.16000000,128.13000000,137.64000000,137.64000000,1621680
2024-05-03,137.57000000,145.18000000,132.10000000,143.73000000,143.73000000,1603899
2024-05-04,143.75000000,149.25000000,142.25000000,146.06000000,146.06000000,745534
2024-05-05,146.07000000,148.20000000,143.00000000,145.74000000,145.74000000,663578
2024-05-06,145.71000000,157.07000000,145.44000000,152.83000000,152.83000000,1474828
2024-05-07,152.85000000,159.42000000,148.00000000,148.05000000,148.05000000,1291661
2024-05-08,148.04000000,150.09000000,139.89000000,142.13000000,142.13000000,1245588
2024-05-09,142.14000000,153.64000000,140.53000000,152.54000000,152.54000000,1211225
2024-05-10,152.55000000,156.00000000,144.41000000,146.03000000,146.03000000,1567961
2024-05-11,146.07000000,147.66000000,143.05000000,145.37000000,145.37000000,743822
2024-05-12,145.37000000,147.97000000,142.53000000,143.35000000,143.35000000,551273
2024-05-13,143.36000000,151.05000000,137.82000000,147.49000000,147.49000000,1421490
2024-05-14,147.50000000,151.50000000,141.63000000,141.96000000,141.96000000,1014632
2024-05-15,141.98000000,159.00000000,141.12000000,158.60000000,158.60000000,1750391
2024-05-16,158.60000000,164.86000000,156.67000000,159.37000000,159.37000000,1591563
2024-05-17,159.37000000,172.37000000,159.27000000,169.48000000,169.48000000,1417553
2024-05-18,169.50000000,176.30000000,168.70000000,172.46000000,172.46000000,842303
2024-05-19,172.45000000,175.56000000,166.01000000,169.92000000,169.92000000,701866
2024-05-20,169.92000000,188.55000000,167.70000000,186.74000000,186.74000000,1693663
2024-05-21,186.71000000,188.91000000,174.26000000,178.12000000,178.12000000,1683731
2024-05-22,178.12000000,183.48000000,175.00000000,176.87000000,176.87000000,1567527
2024-05-23,176.85000000,181.34000000,165.36000000,176.11000000,176.11000000,2172108
2024-05-24,176.07000000,176.24000000,162.45000000,167.68000000,167.68000000,1488684
2024-05-25,167.76000000,170.64000000,165.89000000,168.33000000,168.33000000,629961
2024-05-26,168.33000000,168.51000000,160.36000000,163.24000000,163.24000000,1396644
2024-05-27,163.25000000,172.24000000,163.17000000,170.02000000,170.02000000,802475
2024-05-28,170.02000000,173.41000000,164.32000000,168.50000000,168.50000000,926660
2024-05-29,168.50000000,174.19000000,167.00000000,168.13000000,168.13000000,1154508
2024-05-30,168.11000000,172.76000000,163.48000000,166.83000000,166.83000000,1184067
2024-05-31,166.97000000,170.92000000,163.75000000,165.51000000,165.51000000,959283
2024-06-01,165.50000000,167.84000000,165.49000000,165.99000000,165.99000000,328361
2024-06-02,165.99000000,167.21000000,161.27000000,163.02000000,163.02000000,662730
2024-06-03,163.03000000,167.26000000,161.50000000,164.88000000,164.88000000,961403
2024-06-04,164.88000000,171.90000000,164.30000000,171.82000000,171.82000000,872603
2024-06-05,171.81000000,175.62000000,171.06000000,173.58000000,173.58000000,995585
2024-06-06,173.57000000,174.60000000,167.59000000,170.10000000,170.10000000,801857
2024-06-07,170.02000000,172.76000000,153.00000000,162.47000000,162.47000000,1391242
