Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,0.83200502,1.31348705,0.69418699,0.95105398,0.95105398,87364276
2020-04-11,0.95105398,1.04907298,0.76502001,0.77681899,0.77681899,43862444
2020-04-12,0.78544801,0.95666999,0.76242602,0.88250703,0.88250703,38736897
2020-04-13,0.89076000,0.89160299,0.77397603,0.77783197,0.77783197,18211285
2020-04-14,0.77783197,0.79647201,0.62816900,0.66192502,0.66192502,16747614
2020-04-15,0.66928899,0.70496398,0.62153101,0.64665103,0.64665103,13075275
2020-04-16,0.63087898,0.77419198,0.62510699,0.69081599,0.69081599,21346031
2020-04-17,0.68931198,0.71961403,0.66072798,0.66072798,0.66072798,9870810
2020-04-18,0.66072798,0.71761799,0.65942699,0.68109602,0.68109602,9782112
2020-04-19,0.68151599,0.68464100,0.59848702,0.60696900,0.60696900,9289670
2020-04-20,0.61294800,0.63925397,0.52057803,0.53881198,0.53881198,8342616
2020-04-21,0.54138702,0.60458601,0.50854897,0.58765900,0.58765900,9711507
2020-04-22,0.58116603,0.70696402,0.56962103,0.69160098,0.69160098,18828400
2020-04-23,0.68534702,0.69807702,0.60032201,0.62745702,0.62745702,13485271
2020-04-24,0.62402099,0.67101997,0.61394101,0.63424200,0.63424200,9064190
2020-04-25,0.63052797,0.67094803,0.62154698,0.64332902,0.64332902,7311905
2020-04-26,0.65321499,0.69149899,0.63117099,0.63550597,0.63550597,8320760
2020-04-27,0.63571399,0.66028303,0.56102800,0.57237202,0.57237202,7406934
2020-04-28,0.57825297,0.69214797,0.56848401,0.66129303,0.66129303,7470201
2020-04-29,0.66228598,0.77777100,0.65527397,0.74584001,0.74584001,8801144
2020-04-30,0.74719501,0.80081600,0.68788099,0.69104499,0.69104499,5016892
2020-05-01,0.69104499,0.73707098,0.68590301,0.72879398,0.72879398,4164272
2020-05-02,0.72726798,0.74898100,0.70790398,0.71587598,0.71587598,3441356
2020-05-03,0.71479601,0.72980100,0.65661597,0.67953497,0.67953497,3328344
2020-05-04,0.67962497,0.70581198,0.61843401,0.66749102,0.66749102,3443698
2020-05-05,0.67343998,0.68621403,0.62649900,0.64183700,0.64183700,2847469
