Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,506.70000000,507.16000000,504.75000000,506.93000000,506.93000000,48854528
2024-02-28,505.33000000,506.85500000,504.96000000,506.26000000,506.26000000,56506634
2024-02-29,508.07000000,509.74000000,505.35000000,508.08000000,508.08000000,83924795
2024-03-01,508.98000000,513.29000000,508.56000000,512.85000000,512.85000000,76844844
2024-03-04,512.03000000,514.20000000,512.00000000,512.30000000,512.30000000,49799257
2024-03-05,510.24000000,510.70000000,504.91000000,507.18000000,507.18000000,72855623
2024-03-06,510.55000000,512.06900000,508.42000000,509.75000000,509.75000000,68382367
2024-03-07,513.14000000,515.89000000,509.80530000,514.81000000,514.81000000,58652085
2024-03-08,515.46000000,518.22010000,511.13000000,511.72000000,511.72000000,86532535
2024-03-11,510.48000000,511.88000000,508.50000000,511.28000000,511.28000000,62557183
2024-03-12,513.45000000,517.38000000,510.86000000,516.78000000,516.78000000,73114439
2024-03-13,517.11000000,517.29000000,514.49000000,515.97000000,515.97000000,55104088
2024-03-14,516.97000000,517.12500000,511.82000000,514.95000000,514.95000000,110171820
2024-03-15,510.21000000,511.70000000,508.12200000,509.83000000,509.83000000,107646297
2024-03-18,514.00000000,515.48000000,512.44000000,512.86000000,512.86000000,88893331
2024-03-19,512.15000000,515.99500000,511.12000000,515.71000000,515.71000000,60755263
2024-03-20,515.77000000,520.62000000,515.08000000,520.48000000,520.48000000,69594574
2024-03-21,523.39000000,524.11000000,521.91000000,522.20000000,522.20000000,60256112
2024-03-22,522.11000000,522.60500000,520.97000000,521.21000000,521.21000000,79070842
2024-03-25,519.80000000,520.95000000,519.61000000,519.77000000,519.77000000,48512108
2024-03-26,521.23000000,521.58000000,518.40000000,518.81000000,518.81000000,65463744
2024-03-27,521.71000000,523.21000000,519.48500000,523.17000000,523.17000000,82999777
2024-03-28,523.21000000,524.61000000,522.78000000,523.07000000,523.07000000,96294886
2024-04-01,523.83000000,524.38000000,520.97000000,522.16000000,522.16000000,62477540
2024-04-02,518.24000000,518.98000000,516.48000000,518.84000000,518.84000000,74230308
2024-04-03,517.72000000,520.95000000,517.66500000,519.41000000,519.41000000,59155759
2024-04-04,523.52000000,523.86740000,512.75500000,513.07000000,513.07000000,96858074
2024-04-05,514.46000000,520.44000000,514.01000000,518.43000000,518.43000000,74546483
2024-04-08,519.15000000,520.18000000,517.89000000,518.72000000,518.72000000,48401752
2024-04-09,520.50000000,520.75000000,514.35000000,519.32000000,519.32000000,68124385
2024-04-10,513.48000000,516.16000000,512.09000000,514.12000000,514.12000000,82652806
2024-04-11,515.68000000,519.48000000,512.08000000,518.00000000,518.00000000,70099007
2024-04-12,514.37000000,515.81500000,509.08000000,510.85000000,510.85000000,92561094
