Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.83999634,268.80999756,267.39999390,268.76998901,237.20825195,86655700
2018-01-03,268.95999146,270.64001465,268.95999146,270.47000122,238.70858765,90070400
2018-01-04,271.20001221,272.16000366,270.54000854,271.60998535,239.71476746,80636400
2018-01-05,272.51000977,273.55999756,271.95001221,273.42001343,241.31214905,83524000
2018-01-08,273.30999756,274.10000610,272.98001099,273.92001343,241.75352478,57319200
2018-01-09,274.39999390,275.25000000,274.07998657,274.54000854,242.30058289,57254000
2018-01-10,273.67999268,274.42001343,272.92001343,274.11999512,241.92996216,69574300
2018-01-11,274.75000000,276.11999512,274.55999756,276.11999512,243.69517517,62361500
2018-01-12,276.42001343,278.10998535,276.07998657,277.92001343,245.28379822,90816100
2018-01-16,279.35000610,280.08999634,276.17999268,276.97000122,244.44534302,106555100
2018-01-17,278.02999878,280.04998779,276.97000122,279.60998535,246.77532959,113258800
2018-01-18,279.48001099,279.95999146,278.57998657,279.14001465,246.36051941,100728000
2018-01-19,279.79998779,280.41000366,279.14001465,280.41000366,247.48136902,140920100
2018-01-22,280.17001343,282.69000244,280.10998535,282.69000244,249.49363708,91322400
2018-01-23,282.73999023,283.61999512,282.36999512,283.29000854,250.02307129,97084700
2018-01-24,284.01998901,284.70001221,281.83999634,283.17999268,249.92607117,134816100
2018-01-25,284.16000366,284.26998901,282.39999390,283.29998779,250.03192139,84587300
2018-01-26,284.25000000,286.63000488,283.95999146,286.57998657,252.92675781,107743100
2018-01-29,285.92999268,286.42999268,284.50000000,284.67999268,251.24987793,90118300
2018-01-30,282.60000610,284.73999023,281.22000122,281.76000977,248.67286682,131796400
2018-01-31,282.73001099,283.29998779,280.67999268,281.89999390,248.79638672,108364800
2018-02-01,281.07000732,283.05999756,280.67999268,281.57998657,248.51399231,90102500
2018-02-02,280.07998657,280.23001099,275.41000366,275.45001221,243.10380554,173174800
2018-02-05,273.45001221,275.85000610,263.30999756,263.92999268,232.93655396,294681800
2018-02-06,259.94000244,269.70001221,258.70001221,269.13000488,237.52590942,355026800
2018-02-07,268.50000000,272.35998535,267.57998657,267.67001343,236.23739624,167376100
2018-02-08,268.01000977,268.17001343,257.58999634,257.63000488,227.37644958,246449500
2018-02-09,260.79998779,263.60998535,252.91999817,261.50000000,230.79199219,283565300
2018-02-12,263.82998657,267.01000977,261.66000366,265.33999634,234.18095398,143736000
2018-02-13,263.97000122,266.61999512,263.30999756,266.00000000,234.76347351,81223600
2018-02-14,264.30999756,270.00000000,264.29998779,269.58999634,237.93193054,120735700
2018-02-15,271.57000732,273.04000854,268.76998901,273.02999878,240.96798706,111200300
2018-02-16,272.32000732,275.32000732,272.26998901,273.10998535,241.03854370,160420100
2018-02-20,272.02999878,273.67001343,270.50000000,271.39999390,239.52934265,86369700
2018-02-21,271.89999390,274.72000122,269.94000244,270.04998779,238.33796692,98883700
2018-02-22,271.10000610,273.04998779,269.64001465,270.39999390,238.64680481,110511300
2018-02-23,271.79000854,274.70999146,271.25000000,274.70999146,242.45074463,92766400
2018-02-26,275.92999268,278.01000977,275.26000977,277.89999390,245.26611328,86491400
2018-02-27,278.10998535,278.92001343,274.35998535,274.42999268,242.20358276,99099200
2018-02-28,275.67999268,276.19000244,271.29000854,271.64999390,239.75007629,121907800
2018-03-01,271.41000366,273.17001343,266.00000000,267.70001221,236.26387024,176855100
2018-03-02,265.79998779,269.72000122,264.82000732,269.07998657,237.48181152,139083200
2018-03-05,267.73001099,272.89001465,267.60998535,272.19000244,240.22663879,97307400
2018-03-06,273.29998779,273.39001465,271.17999268,272.88000488,240.83567810,79213200
2018-03-07,270.42001343,273.17999268,270.20001221,272.77999878,240.74732971,87063500
2018-03-08,273.54998779,274.23999023,272.42001343,274.10000610,241.91238403,66901200
2018-03-09,275.70001221,278.86999512,275.33999634,278.86999512,246.12220764,113625300
2018-03-12,279.20001221,279.91000366,278.07998657,278.51998901,245.81321716,71924800
2018-03-13,279.83999634,280.41000366,276.02999878,276.72000122,244.22468567,91968900
2018-03-14,277.80999756,278.01998901,274.67001343,275.29998779,242.97140503,105895100
2018-03-15,275.88000488,276.60998535,274.42999268,275.00000000,242.70658875,83433000
2018-03-16,274.50000000,275.39001465,274.14001465,274.20001221,242.96983337,100343700
2018-03-19,273.35000610,274.39999390,268.61999512,270.48999023,239.68235779,109208400
2018-03-20,270.94000244,271.67001343,270.17999268,270.95001221,240.08995056,59757300
2018-03-21,270.89999390,273.26998901,270.19000244,270.42999268,239.62918091,78709600
2018-03-22,267.91000366,268.86999512,263.35998535,263.67001343,233.63916016,148785900
2018-03-23,264.17001343,264.54000854,257.82998657,258.04998779,228.65921021,183534800
2018-03-26,262.13000488,265.42999268,259.41000366,265.10998535,234.91508484,141956100
2018-03-27,266.17001343,266.76998901,258.83999634,260.60000610,230.91877747,129941400
2018-03-28,260.75000000,262.64001465,258.57998657,259.82998657,230.23648071,146452300
2018-03-29,261.11999512,265.26000977,259.83999634,263.14999390,233.17839050,111601600
2018-04-02,262.54998779,263.13000488,254.66999817,257.47000122,228.14529419,186286300
2018-04-03,258.86999512,261.30999756,256.83999634,260.76998901,231.06941223,119956900
2018-04-04,256.75000000,264.35998535,256.60000610,263.55999756,233.54164124,123715300
2018-04-05,265.54998779,266.64001465,264.32000732,265.64001465,235.38476562,82652600
2018-04-06,263.42001343,265.10998535,258.00000000,259.72000122,230.13900757,179521200
2018-04-09,261.36999512,264.83999634,259.94000244,261.00000000,231.27322388,105442900
2018-04-10,264.26998901,266.04000854,262.98001099,265.14999390,234.95054626,103529000
2018-04-11,263.47000122,265.64001465,263.39001465,263.76000977,233.71887207,91140200
2018-04-12,265.26000977,267.00000000,265.05999756,265.92999268,235.64172363,68890500
2018-04-13,267.41000366,267.54000854,264.01000977,265.14999390,234.95054626,85079200
2018-04-16,267.00000000,268.20001221,266.07000732,267.32998657,236.88224792,63405300
2018-04-17,269.32998657,270.86999512,268.75000000,270.19000244,239.41648865,64682000
2018-04-18,270.69000244,271.29998779,269.86999512,270.39001465,239.59370422,57303900
2018-04-19,269.64999390,269.88000488,267.72000122,268.89001465,238.26458740,77655900
2018-04-20,268.80999756,269.05999756,265.60998535,266.60998535,236.24421692,99953100
2018-04-23,267.26000977,267.89001465,265.35000610,266.57000732,236.20889282,65558000
2018-04-24,267.73001099,267.98001099,261.27999878,262.98001099,233.02777100,112885500
2018-04-25,262.91000366,264.13000488,260.85000610,263.63000488,233.60366821,103840900
2018-04-26,264.79000854,267.25000000,264.29000854,266.30999756,235.97843933,67731900
2018-04-27,267.00000000,267.33999634,265.50000000,266.55999756,236.19996643,57053600
2018-04-30,267.26000977,267.89001465,264.42999268,264.51000977,234.38348389,82182300
2018-05-01,263.86999512,265.10000610,262.10998535,264.98001099,234.79992676,74203400
2018-05-02,264.76000977,265.67999268,262.76000977,263.20001221,233.22270203,86368900
2018-05-03,262.26000977,263.35998535,259.04998779,262.61999512,232.70880127,136311500
2018-05-04,261.51998901,266.79000854,261.14999390,266.01998901,235.72148132,91222100
2018-05-07,266.89001465,268.01998901,266.10998535,266.92001343,236.51895142,55304900
2018-05-08,266.50000000,267.32998657,265.14999390,266.92001343,236.51895142,67499200
2018-05-09,267.67999268,269.86999512,267.08999634,269.50000000,238.80513000,59666100
2018-05-10,270.33999634,272.39001465,270.22000122,272.01998901,241.03811646,72063900
2018-05-11,272.16000366,273.14999390,271.57998657,272.85000610,241.77362061,59871500
2018-05-14,273.33999634,274.07998657,272.35998535,272.98001099,241.88880920,54790600
2018-05-15,271.58999634,271.60998535,270.02999878,271.10000610,240.22286987,87036100
2018-05-16,271.14001465,272.76000977,271.10998535,272.23999023,241.23306274,53942600
2018-05-17,271.94000244,273.23001099,271.13000488,272.01000977,241.02923584,56536400
2018-05-18,271.61999512,272.02999878,270.92999268,271.32998657,240.42674255,64368000
2018-05-21,273.01000977,273.98001099,272.57000732,273.36999512,242.23423767,58025900
2018-05-22,273.95999146,274.25000000,272.23999023,272.60998535,241.56085205,52966400
2018-05-23,271.17001343,273.39001465,270.98999023,273.35998535,242.22544861,64694200
2018-05-24,272.91000366,273.22000122,270.77999878,272.79998779,241.72923279,76043800
2018-05-25,272.14999390,272.85998535,271.57998657,272.14999390,241.15324402,56374800
2018-05-29,270.30999756,271.17001343,267.76000977,269.01998901,238.37980652,115908600
2018-05-30,270.50000000,273.10998535,270.42001343,272.60998535,241.56085205,69678400
2018-05-31,272.14999390,272.48999023,270.26000977,270.94000244,240.08111572,93519900
2018-06-01,272.41000366,273.94000244,272.32998657,273.60000610,242.43814087,71258400
2018-06-04,274.52999878,275.19000244,274.26000977,274.89999390,243.59002686,45385200
2018-06-05,275.04998779,275.52999878,274.17999268,275.10000610,243.76733398,51135000
2018-06-06,275.79000854,277.51998901,275.08999634,277.39999390,245.80532837,62732200
2018-06-07,277.95001221,278.27999878,276.33999634,277.36999512,245.77880859,72969400
2018-06-08,276.85000610,278.25000000,276.66000366,278.19000244,246.50531006,72139700
2018-06-11,278.44000244,279.36999512,278.30999756,278.55999756,246.83319092,58892500
2018-06-12,279.02999878,279.32998657,278.19000244,278.92001343,247.15223694,72329000
2018-06-13,279.19000244,279.48001099,277.79998779,278.02999878,246.36354065,79070600
2018-06-14,279.01000977,279.32998657,278.05999756,278.73001099,246.98391724,77097600
2018-06-15,276.60000610,277.51000977,275.35000610,277.13000488,246.66876221,120041600
2018-06-18,275.48999023,276.70001221,274.95001221,276.55999756,246.16140747,52917600
2018-06-19,274.00000000,275.75000000,273.52999878,275.50000000,245.21784973,97531500
2018-06-20,276.26998901,276.72000122,275.58999634,275.97000122,245.63627625,53785500
2018-06-21,275.95999146,275.98001099,273.67999268,274.23999023,244.09646606,71061400
2018-06-22,275.66000366,275.79000854,274.48999023,274.73999023,244.54154968,54898500
2018-06-25,273.44000244,273.61999512,269.10000610,271.00000000,241.21253967,137854200
2018-06-26,271.64001465,272.55999756,270.79000854,271.60000610,241.74662781,68547400
2018-06-27,272.26000977,273.86999512,269.17999268,269.35000610,239.74391174,105110700
2018-06-28,269.29000854,271.75000000,268.48999023,270.89001465,241.11470032,76650500
2018-06-29,272.11999512,273.66000366,271.14999390,271.27999878,241.46177673,97592500
2018-07-02,269.51000977,272.04000854,269.23999023,271.85998535,241.97804260,63554800
2018-07-03,272.86999512,272.98001099,270.42001343,270.89999390,241.12359619,42187100
2018-07-05,272.17001343,273.17999268,270.95999146,273.10998535,243.09057617,56925900
2018-07-06,273.14001465,275.83999634,272.70999146,275.42001343,245.14674377,66493700
2018-07-09,276.54998779,277.95999146,276.50000000,277.89999390,247.35415649,50550400
2018-07-10,278.41000366,279.01000977,278.07998657,278.89999390,248.24417114,51966800
